757,Jon,Dunn
103,Tony,Robbins
75,Heidi,Julavits
596,Peg,Dawson
753,John,Wiseman
510,Gillian,Flynn
393,Christiane,M.D.
509,Lee,Child
603,Gary,Greenberg
363,Sarah,Waters
588,Amy,Rosenthal
234,Lisa,Lillien
213,Joseph,Bastianich
345,George,Ed.D.
752,John,Sherry
204,Kristen,Miglore
165,Michael,Lewis
62,Elizabeth,Warren
473,Erwin,Chemerinsky
193,Robert,Kirkman
636,Dale,Carnegie
605,Jeffrey,Brown
55,Judith,Miller
721,Lee,Peterson
490,Harlan,Coben
756,Christina,Brown
140,Ron,Lieber
0,Lilt,Books
514,E.,James
3,Alberta,Hutchinson
200,Amelia,Freer
373,Richard,Siken
192,Laura,Numeroff
632,Alexandra,Fuller
541,Frank,Stanford
592,Janet,Lansbury
727,Peter,Brown
547,Joseph,Kanon
87,David,Axelrod
544,Meghan,Daum
198,Gene,Baur
83,Henry,Kissinger
111,Robert,Putnam
561,Jodi,Picoult
51,Jon,Krakauer
682,Meredith,Wild
77,Gretchen,Rubin
758,The,Oatmeal
146,Daniel,Pink
281,David,Wondrich
56,Lynsey,Addario
54,Gregory,Boyle
287,Daniel,Lipkowitz
381,Kimberly,Snyder
362,Larry,Kramer
465,Adam,Mansbach
629,Annabel,Karmel
98,Laurence,Kotlikoff
241,Joe,Cross
468,Mike,Lee
625,Willard,Harley
49,Bill,Browder
242,Sally,Morell
312,Diana,Rodgers
262,Jason,Manheim
611,Meg,Meeker
530,rupi,kaur
593,Eline,Snel
780,National,(NASM)
516,Anita,Diamant
700,Jane,Austen
26,Sheryl,Sandberg
467,Ray,Bradbury
794,Kevin,Fedarko
499,John,Sandford
247,Alona,M.D.
113,Simon,Sinek
728,Elizabeth,Kolbert
685,Laurell,Hamilton
298,India,Hicks
462,Randall,Munroe
668,Amy,Shields
621,Louis,M.D.
249,Jeff,Phillips
223,Sarah,Britton
400,Karena,Dawn
68,Tim,Kreider
495,Christina,Kline
617,Harville,Hendrix
772,Andrea,Buchanan
724,Terence,Dickinson
37,Andrew,Hodges
420,Nick,Ortner
675,Susanna,Kearsley
20,John,Lewis
653,Ali,Almossawi
652,John,Creswell
201,Gina,Homolka
565,Mary,Clark
269,Meredith,Laurence
285,Angie,Grace
638,Thich,Hanh
583,Harvey,Karp
176,Arbinger,Institute
163,Nir,Eyal
359,Michael,PE
463,Wizards,Team
414,John,Gottman
406,Amy,Myers
442,Daniel,Murphy
143,Gary,Keller
735,Elle,Luna
567,Randy,White
220,Del,Sroufe
766,Samuel,Thayer
730,Jen,Sincero
571,Zora,Hurston
532,Celeste,Ng
726,Mark,Gladwin
644,Bhante,Gunaratana
115,Eric,Ries
224,Joel,Fuhrman
47,Roz,Chast
89,Malcolm,X
308,Jorge,Cervantes
151,Patrick,Lencioni
188,Jonathan,Cahn
315,Peter,Walsh
589,Toni,Weschler
57,Arianna,Huffington
466,George,Orwell
158,Michael,Gerber
591,Ina,Gaskin
421,Daniel,Brown
34,Willie,Nelson
410,Jon,Ronson
708,Daphne,Maurier
186,Karen,Kingsbury
674,Heather,Cocks
207,Ian,Smith
19,Laura,Wilder
423,Michelle,Alexander
665,Mary,Norris
609,William,Sears
378,James,Baldwin
148,John,Maxwell
327,Siegfried,Engelmann
631,don,Ruiz
679,Colleen,Hoover
246,Jenni,Hulet
799,Richard,Louv
379,Dan,Buettner
440,Lorraine,Lupinskie-Huvane
448,Erick,Stakelbeck
396,Dr.,Mercola
182,Sally,Lloyd-Jones
357,Jonathan,Waldman
134,Michael,Watkins
745,Potter,Style
765,Baseball,Prospectus
451,Jeff,Hobbs
779,W.,Gallwey
742,Edmund,PhD
1,Lacy,Mucklow
775,Don,Wright
439,Jared,Diamond
253,Jody,Scaravella
354,Charles,Platt
658,Roxane,Gay
86,Cary,Elwes
791,W.,Heinz
78,Christopher,McDougall
260,Editors,Living
689,A.,Roquelaure
310,Windsor,Smith
470,Bruce,Schneier
211,Rocco,DiSpirito
704,Onision,Onision
328,Educational,Service
545,Lily,King
4,Marty,Noble
336,Linda,RN
